StatTrak™ FAMAS | Djinn (Battle-Scarred)/436.63
M249 | Nebula Crusader (Battle-Scarred)/106.21
StatTrak™ Desert Eagle | Naga (Well-Worn)/405.06
FAMAS | Eye of Athena (Field-Tested)/440.25
MAC-10 | Echoing Sands (Factory New)/110.9
StatTrak™ P90 | Shallow Grave (Battle-Scarred)/443.35
MAC-10 | Heat (Field-Tested)/244.72
P2000 | Imperial Dragon (Field-Tested)/321.86
FAMAS | Teardown (Factory New)/135.78
XM1014 | Teclu Burner (Minimal Wear)/165.87
StatTrak™ Dual Berettas | Royal Consorts (Field-Tested)/114.36
P250 | Whiteout (Field-Tested)/2700.0
★ Hydra Gloves | Emerald (Battle-Scarred)/6660.63
UMP-45 | Primal Saber (Battle-Scarred)/180.98
StatTrak™ USP-S | The Traitor (Field-Tested)/4311.47
MAG-7 | Core Breach (Field-Tested)/132.25
AWP | Duality (Field-Tested)/879.14
StatTrak™ MAC-10 | Pipe Down (Field-Tested)/114.86
AUG | Chameleon (Well-Worn)/400.52
AK-47 | Elite Build (Well-Worn)/123.01
AWP | Black Nile (Field-Tested)/269.99
AK-47 | Slate (Battle-Scarred)/279.91
Music Kit | Scarlxrd: King, Scar/334.92
StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)/1760.99
AUG | Death by Puppy (Well-Worn)/636.0
Five-SeveN | Fowl Play (Factory New)/1042.21
StatTrak™ MAC-10 | Button Masher (Minimal Wear)/131.58
MP7 | Abyssal Apparition (Minimal Wear)/464.92
P90 | Trigon (Field-Tested)/1281.81
StatTrak™ P2000 | Wicked Sick (Battle-Scarred)/437.0
★ Driver Gloves | Queen Jaguar (Battle-Scarred)/7428.25
StatTrak™ PP-Bizon | High Roller (Battle-Scarred)/392.28
Dual Berettas | Melondrama (Battle-Scarred)/154.99
Tec-9 | Fuel Injector (Minimal Wear)/575.15
Galil AR | Blue Titanium (Factory New)/463.95
P2000 | Pulse (Minimal Wear)/336.84
StatTrak™ Five-SeveN | Angry Mob (Field-Tested)/955.15
AUG | Stymphalian (Battle-Scarred)/161.0
StatTrak™ FAMAS | Mecha Industries (Minimal Wear)/1351.49
StatTrak™ AWP | Fever Dream (Battle-Scarred)/1948.0
PP-Bizon | Judgement of Anubis (Battle-Scarred)/511.33
'Two Times' McCoy | TACP Cavalry/298.36
StatTrak™ CZ75-Auto | Tacticat (Battle-Scarred)/103.0
StatTrak™ M4A1-S | Flashback (Minimal Wear)/816.5
CZ75-Auto | Yellow Jacket (Field-Tested)/509.16
M4A1-S | Nightmare (Battle-Scarred)/792.25
FAMAS | Sergeant (Field-Tested)/222.09
StatTrak™ R8 Revolver | Llama Cannon (Battle-Scarred)/453.49
M4A4 | Evil Daimyo (Battle-Scarred)/210.99
R8 Revolver | Llama Cannon (Battle-Scarred)/259.8
CZ75-Auto | Syndicate (Battle-Scarred)/312.01
StatTrak™ Glock-18 | Bullet Queen (Well-Worn)/1900.34
MAC-10 | Ultraviolet (Battle-Scarred)/201.8
XM1014 | XOXO (Minimal Wear)/436.84
M4A1-S | Leaded Glass (Battle-Scarred)/469.11
Lt. Commander Ricksaw | NSWC SEAL/1060.39
AK-47 | Jaguar (Battle-Scarred)/3391.37
Five-SeveN | Fairy Tale (Battle-Scarred)/1586.69
StatTrak™ MAC-10 | Disco Tech (Battle-Scarred)/386.26
★ Shadow Daggers | Ultraviolet (Field-Tested)/13567.07
StatTrak™ SSG 08 | Slashed (Field-Tested)/274.99
AK-47 | Steel Delta (Minimal Wear)/366.82
StatTrak™ AUG | Aristocrat (Field-Tested)/146.25
StatTrak™ Glock-18 | Weasel (Field-Tested)/165.0
P90 | Vent Rush (Minimal Wear)/134.06
Special Agent Ava | FBI/1588.17
AK-47 | Elite Build (Factory New)/634.41
Glock-18 | Water Elemental (Well-Worn)/849.54
Maximus | Sabre/172.3
AWP | PAW (Field-Tested)/193.45
StatTrak™ Desert Eagle | Trigger Discipline (Well-Worn)/166.61
Five-SeveN | Fowl Play (Well-Worn)/243.53
USP-S | Lead Conduit (Minimal Wear)/103.4
R8 Revolver | Amber Fade (Field-Tested)/115.01
Glock-18 | Snack Attack (Field-Tested)/390.0
Glock-18 | Blue Fissure (Field-Tested)/288.88
P250 | Franklin (Field-Tested)/107.82
USP-S | Cortex (Well-Worn)/202.49
Tec-9 | Isaac (Minimal Wear)/350.34
Markus Delrow | FBI HRT/252.25
AWP | Duality (Minimal Wear)/1662.32
Ground Rebel  | Elite Crew/221.76
AK-47 | Steel Delta (Battle-Scarred)/231.75
FAMAS | Roll Cage (Well-Worn)/312.0
Glock-18 | Neo-Noir (Battle-Scarred)/832.73
