Five-SeveN | Case Hardened (Field-Tested)/81.55
StatTrak™ M4A4 | Desolate Space (Battle-Scarred)/69.06
P2000 | Amber Fade (Field-Tested)/40.1
AK-47 | Asiimov (Battle-Scarred)/135.4
MAG-7 | Bulldozer (Field-Tested)/21.09
StatTrak™ MAC-10 | Neon Rider (Field-Tested)/94.15
SSG 08 | Dragonfire (Field-Tested)/71.0
StatTrak™ FAMAS | Roll Cage (Battle-Scarred)/39.3
M4A1-S | Leaded Glass (Field-Tested)/28.35
Five-SeveN | Angry Mob (Minimal Wear)/39.6
AWP | Corticera (Field-Tested)/89.78
M4A1-S | Nightmare (Well-Worn)/40.0
CZ75-Auto | Victoria (Field-Tested)/33.74
StatTrak™ AK-47 | The Empress (Battle-Scarred)/296.6
AWP | Fever Dream (Battle-Scarred)/45.2
SSG 08 | Turbo Peek (Minimal Wear)/46.8
StatTrak™ P250 | See Ya Later (Battle-Scarred)/53.3
Desert Eagle | Conspiracy (Field-Tested)/34.34
M4A1-S | Cyrex (Minimal Wear)/150.0
★ Driver Gloves | Racing Green (Field-Tested)/298.5
★ Hydra Gloves | Mangrove (Battle-Scarred)/324.5
StatTrak™ M4A1-S | Decimator (Battle-Scarred)/134.4
UMP-45 | Blaze (Factory New)/136.38
AK-47 | Orbit Mk01 (Field-Tested)/66.17
Sir Bloody Darryl Royale | The Professionals/141.0
M4A4 | X-Ray (Field-Tested)/69.89
P90 | Nostalgia (Field-Tested)/34.19
Arno The Overgrown | Guerrilla Warfare/27.57
Glock-18 | Neo-Noir (Battle-Scarred)/52.29
Desert Eagle | Printstream (Battle-Scarred)/225.0
StatTrak™ Desert Eagle | Crimson Web (Battle-Scarred)/79.3
StatTrak™ Glock-18 | Vogue (Battle-Scarred)/33.5
P250 | See Ya Later (Well-Worn)/26.52
USP-S | The Traitor (Battle-Scarred)/60.6
M4A4 | The Battlestar (Field-Tested)/25.0
StatTrak™ M4A4 | Neo-Noir (Battle-Scarred)/62.85
SSG 08 | Dragonfire (Well-Worn)/73.79
Glock-18 | Water Elemental (Factory New)/84.18
