M4A4 | X-Ray (Minimal Wear)/79
Glock-18 | Wasteland Rebel (Well-Worn)/36.7
AK-47 | Rat Rod (Battle-Scarred)/20.2
AK-47 | Rat Rod (Well-Worn)/20.9
StatTrak™ AWP | Chromatic Aberration (Battle-Scarred)/141
AWP | Elite Build (Battle-Scarred)/67
StatTrak™ Tec-9 | Fuel Injector (Field-Tested)/38.5
StatTrak™ USP-S | Cyrex (Factory New)/85
StatTrak™ AWP | PAW (Field-Tested)/25.8
StatTrak™ Tec-9 | Re-Entry (Factory New)/24.9
Glock-18 | Gamma Doppler (Minimal Wear)/197
FAMAS | Pulse (Factory New)/41.1
M4A4 | Bullet Rain (Field-Tested)/71
AWP | Exoskeleton (Minimal Wear)/21.7
Sawed-Off | Kiss♥Love (Battle-Scarred)/21.9
Glock-18 | Bullet Queen (Field-Tested)/55
Chef d'Escadron Rouchard | Gendarmerie Nationale/65
MP9 | Starlight Protector (Field-Tested)/30.9
PP-Bizon | Judgement of Anubis (Factory New)/70
AWP | Redline (Field-Tested)/259
AWP | Chromatic Aberration (Battle-Scarred)/60
StatTrak™ P250 | Muertos (Field-Tested)/70
StatTrak™ M4A1-S | Flashback (Minimal Wear)/32.7
MP7 | Bloodsport (Factory New)/25.1
StatTrak™ USP-S | Cortex (Minimal Wear)/61
StatTrak™ Five-SeveN | Angry Mob (Field-Tested)/47.3
Col. Mangos Dabisi | Guerrilla Warfare/52
Glock-18 | Gamma Doppler (Factory New)/304
Glock-18 | Wasteland Rebel (Factory New)/46.8
StatTrak™ M4A1-S | Leaded Glass (Field-Tested)/63
StatTrak™ USP-S | Neo-Noir (Battle-Scarred)/164
StatTrak™ AWP | Worm God (Field-Tested)/21.1
P250 | Cartel (Field-Tested)/26.1
StatTrak™ AWP | Fever Dream (Minimal Wear)/137
StatTrak™ SSG 08 | Bloodshot (Battle-Scarred)/69
AK-47 | Asiimov (Well-Worn)/186
StatTrak™ AWP | Phobos (Factory New)/40.1
★ Bowie Knife | Damascus Steel (Field-Tested)/1030
StatTrak™ MP9 | Starlight Protector (Field-Tested)/63
M4A4 | Evil Daimyo (Factory New)/28.6
MP9 | Hypnotic (Factory New)/85
AK-47 | Black Laminate (Field-Tested)/163
Trapper Aggressor | Guerrilla Warfare/33.8
USP-S | Cortex (Factory New)/62
StatTrak™ AWP | Exoskeleton (Minimal Wear)/62
Desert Eagle | Ocean Drive (Minimal Wear)/318
AK-47 | Rat Rod (Factory New)/56
AK-47 | Neon Revolution (Battle-Scarred)/98
M4A1-S | Chantico's Fire (Field-Tested)/162
MP9 | Mount Fuji (Factory New)/38.9
Galil AR | Chromatic Aberration (Minimal Wear)/22.5
AWP | Duality (Well-Worn)/76
USP-S | Monster Mashup (Minimal Wear)/160
M4A4 | Buzz Kill (Well-Worn)/63
StatTrak™ MP5-SD | Phosphor (Battle-Scarred)/36.3
AK-47 | Jaguar (Well-Worn)/184
M4A4 | Desolate Space (Field-Tested)/34.1
StatTrak™ AK-47 | Slate (Field-Tested)/54
P250 | See Ya Later (Minimal Wear)/37.4
P250 | Muertos (Field-Tested)/27.5
AK-47 | Ice Coaled (Well-Worn)/63
M4A1-S | Chantico's Fire (Battle-Scarred)/85
StatTrak™ AK-47 | Ice Coaled (Battle-Scarred)/90
★ Shadow Daggers | Bright Water (Field-Tested)/657
Five-SeveN | Fowl Play (Minimal Wear)/25.6
StatTrak™ USP-S | The Traitor (Battle-Scarred)/159
M4A1-S | Hyper Beast (Minimal Wear)/327
AK-47 | Frontside Misty (Well-Worn)/83
SSG 08 | Dragonfire (Minimal Wear)/91
StatTrak™ Glock-18 | Blue Fissure (Field-Tested)/16.5
USP-S | Blood Tiger (Field-Tested)/8
StatTrak™ USP-S | Black Lotus (Battle-Scarred)/14.5
StatTrak™ MP9 | Mount Fuji (Field-Tested)/12
Five-SeveN | Monkey Business (Well-Worn)/12.9
AK-47 | Safety Net (Battle-Scarred)/30.2
M4A1-S | Nitro (Battle-Scarred)/7.1
Sticker | Coiled Strike (Holo)/8.9
Crasswater The Forgotten | Guerrilla Warfare/45.6
M4A1-S | Night Terror (Battle-Scarred)/15.2
StatTrak™ P250 | Asiimov (Battle-Scarred)/26.2
MP9 | Mount Fuji (Battle-Scarred)/7.5
AWP | Phobos (Minimal Wear)/8.3
USP-S | Cyrex (Well-Worn)/10.3
MP9 | Food Chain (Well-Worn)/8.8
StatTrak™ Desert Eagle | Light Rail (Battle-Scarred)/19.5
StatTrak™ Glock-18 | Weasel (Field-Tested)/8.3
Dual Berettas | Melondrama (Field-Tested)/13.7
MP9 | Airlock (Battle-Scarred)/9.6
Galil AR | Chromatic Aberration (Well-Worn)/8.8
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)/57
StatTrak™ USP-S | Cyrex (Field-Tested)/22.1
StatTrak™ USP-S | Cortex (Field-Tested)/31.7
MAG-7 | Justice (Well-Worn)/11.8
StatTrak™ AK-47 | Elite Build (Battle-Scarred)/19.1
MP7 | Abyssal Apparition (Battle-Scarred)/9.5
StatTrak™ Galil AR | Chromatic Aberration (Battle-Scarred)/15.8
M4A4 | The Coalition (Battle-Scarred)/73
MP9 | Food Chain (Field-Tested)/12
AWP | Phobos (Field-Tested)/7.4
AWP | Exoskeleton (Field-Tested)/13.1
Bio-Haz Specialist | SWAT/21.3
AK-47 | Emerald Pinstripe (Field-Tested)/42.8
SSG 08 | Fever Dream (Minimal Wear)/7.2
Desert Eagle | Naga (Well-Worn)/7.3
John 'Van Healen' Kask | SWAT/18.2
AK-47 | Phantom Disruptor (Well-Worn)/40.3
P250 | Franklin (Minimal Wear)/9.1
FAMAS | Roll Cage (Battle-Scarred)/15.6
SG 553 | Pulse (Field-Tested)/11.2
MP9 | Food Chain (Battle-Scarred)/9.2
M4A1-S | Mecha Industries (Battle-Scarred)/113
Sergeant Bombson | SWAT/22.1
AWP | Sun in Leo (Field-Tested)/81
Desert Eagle | Kumicho Dragon (Field-Tested)/88
M4A4 | Neo-Noir (Minimal Wear)/81
USP-S | Cyrex (Minimal Wear)/13.9
AWP | Neo-Noir (Minimal Wear)/216
PP-Bizon | Judgement of Anubis (Field-Tested)/31.7
AK-47 | Asiimov (Battle-Scarred)/149
Galil AR | Eco (Well-Worn)/14.1
AUG | Stymphalian (Battle-Scarred)/8.4
P250 | Asiimov (Field-Tested)/21.3
AK-47 | Legion of Anubis (Minimal Wear)/95
MP9 | Rose Iron (Minimal Wear)/29.9
Street Soldier | Phoenix/30
R8 Revolver | Fade (Field-Tested)/31.2
AK-47 | Head Shot (Well-Worn)/141
AK-47 | Neon Rider (Field-Tested)/201
AWP | Duality (Battle-Scarred)/41.1
★ Moto Gloves | 3rd Commando Company (Battle-Scarred)/359
P90 | Asiimov (Field-Tested)/45.3
Cmdr. Mae 'Dead Cold' Jamison | SWAT/37.5
MAC-10 | Stalker (Field-Tested)/64
AK-47 | Nightwish (Battle-Scarred)/48.1
M4A4 | Neo-Noir (Minimal Wear)/68
Desert Eagle | Printstream (Battle-Scarred)/208
MP9 | Starlight Protector (Field-Tested)/23.8
StatTrak™ AWP | Exoskeleton (Well-Worn)/23.1
MAC-10 | Neon Rider (Field-Tested)/32.7
M4A1-S | Hyper Beast (Field-Tested)/129
StatTrak™ AK-47 | Neon Revolution (Field-Tested)/205
Glock-18 | Wasteland Rebel (Minimal Wear)/25.7
AK-47 | Point Disarray (Battle-Scarred)/44.8
CS:GO Weapon Case 3/44.9
AK-47 | Head Shot (Battle-Scarred)/96
AK-47 | Ice Coaled (Field-Tested)/49.3
USP-S | Neo-Noir (Field-Tested)/93
AK-47 | Safety Net (Field-Tested)/25
'The Doctor' Romanov | Sabre/26.2
AK-47 | Ice Coaled (Battle-Scarred)/37.2
Glock-18 | Gamma Doppler (Minimal Wear)/187
★ Hydra Gloves | Mangrove (Field-Tested)/283
StatTrak™ Desert Eagle | Mecha Industries (Field-Tested)/45.2
AK-47 | Legion of Anubis (Well-Worn)/56
StatTrak™ M4A4 | Temukau (Battle-Scarred)/155
Glock-18 | Water Elemental (Field-Tested)/24.8
Desert Eagle | Crimson Web (Field-Tested)/34.1
SSG 08 | Dragonfire (Factory New)/120
M4A1-S | Emphorosaur-S (Factory New)/26.4
AK-47 | Cartel (Field-Tested)/36.9
★ Hydra Gloves | Rattler (Field-Tested)/301
★ Navaja Knife | Safari Mesh (Field-Tested)/478
SSG 08 | Dragonfire (Field-Tested)/62
USP-S | Kill Confirmed (Well-Worn)/228
USP-S | Printstream (Battle-Scarred)/231
Desert Eagle | Code Red (Field-Tested)/127
StatTrak™ AWP | Duality (Battle-Scarred)/88
M4A1-S | Guardian (Field-Tested)/105
USP-S | The Traitor (Battle-Scarred)/51
Trapper Aggressor | Guerrilla Warfare/28.9
Galil AR | Chatterbox (Battle-Scarred)/30.7
AK-47 | Slate (Battle-Scarred)/11.4
M4A4 | Buzz Kill (Field-Tested)/42.7
